,Song,Song_ID,Artists,Artists_Id,Popularity,Lengthofsing_ms,danceability,energy,loudness,Modemajor1_happier,acousticness,valence,tempo,Release_date,Album_type,source,Fear,Trust,Joy,Disgust,Anticipation,Sadness,Suprise,Anger,Negative,Positive
2054,Potential ,1CiR9MK8zVPKtGrHe4LFPb,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,62,290325,0.9570000000000001,0.46,-7.513,1,0.00418,0.191,123.95100000000001,2019-06-21,album,genius.com,0.014888337468982629,0.05459057071960299,0.06451612903225809,0.007444168734491315,0.05707196029776677,0.014888337468982629,0.04714640198511167,0.009925558312655087,0.02233250620347394,0.07692307692307693
2055,Cologne,3uQN0eMtoTyLczKLNqI98R,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,46,134407,0.797,0.519,-7.558,1,0.456,0.326,151.918,2019-11-13,single,genius.com,0.03896103896103896,0.017316017316017316,0.07792207792207793,0.03463203463203463,0.017316017316017316,0.025974025974025972,0.0,0.017316017316017316,0.047619047619047616,0.11688311688311695
2056,Saturn,1a9rOeuuSEYpyRupt4D1Po,6 Dogs,3Ps6le7tj5BdNtdnfNgTU4,61,96233,0.764,0.342,-10.640999999999998,0,0.8859999999999999,0.377,139.895,2019-03-15,single,genius.com,0.02884615384615384,0.01282051282051282,0.009615384615384616,0.05769230769230771,0.01282051282051282,0.04166666666666667,0.025641025641025637,0.0544871794871795,0.06730769230769233,0.025641025641025637
2057,Me and My Brother,0AZYhsESBrtRq88nxq6GMZ,5ive,1amQb9Uw9xQGWXyZjW42H1,63,212532,0.7659999999999999,0.535,-7.607,0,0.599,0.389,130.053,2019-07-12,single,genius.com,0.03246753246753247,0.02597402597402598,0.016233766233766236,0.0616883116883117,0.03896103896103897,0.016233766233766236,0.019480519480519484,0.07142857142857144,0.10064935064935067,0.03246753246753247
2058,clickbait,2i3D8AJiOYTVCkIu1cOpsH,Logic,4xRYI6VqpkE3UwrDrAZL8L,63,157000,0.848,0.708,-5.625,1,0.0466,0.765,156.007,2019-05-10,album,genius.com,0.04733727810650889,0.014792899408284023,0.014792899408284023,0.005917159763313609,0.026627218934911247,0.056213017751479306,0.020710059171597635,0.02366863905325444,0.0532544378698225,0.03846153846153847
2059,Never Lost,2siGLwunHkTMJjmy4oHfLB,Elevation Worship,3YCKuqpv9nCsIhJ2v8SMix,63,315538,0.49,0.524,-8.229,1,0.20600000000000002,0.18100000000000002,122.874,2019-11-01,single,genius.com,0.07407407407407407,0.021164021164021163,0.005291005291005291,0.010582010582010581,0.021164021164021163,0.05291005291005291,0.05291005291005291,0.05291005291005291,0.07407407407407407,0.010582010582010581
2060,Miracle,4JOV4ut0CIXkwVH0Vy4YQJ,Labrinth,2feDdbD5araYcm6JhFHHw7,42,229406,0.524,0.457,-6.729,0,0.0156,0.26,77.165,2019-11-22,album,genius.com,0.009433962264150943,0.07075471698113207,0.0660377358490566,0.0,0.018867924528301886,0.009433962264150943,0.0,0.0047169811320754715,0.014150943396226415,0.0660377358490566
2061,What Whiskey Does ,6Zz0GUgiyGrN0EUkkHU1JM,Randy Houser,56x8mYvS3cyDGAi8N2FxbB,61,226173,0.693,0.664,-5.0360000000000005,1,0.133,0.425,126.93799999999999,2019-01-11,album,genius.com,0.00909090909090909,0.006060606060606061,0.015151515151515152,0.02424242424242424,0.00909090909090909,0.02121212121212121,0.0,0.00909090909090909,0.036363636363636355,0.033333333333333326
2062,The Producer,0j2hRG0vWQ5t7aWaLazbkP,Labrinth,2feDdbD5araYcm6JhFHHw7,41,163889,0.68,0.5529999999999999,-7.5820000000000025,1,0.214,0.4370000000000001,68.459,2019-11-22,album,genius.com,0.06542056074766354,0.028037383177570093,0.014018691588785045,0.02336448598130841,0.03271028037383177,0.04672897196261682,0.018691588785046728,0.037383177570093455,0.056074766355140186,0.014018691588785045
2063,Popular Monster,4GssB27iJeqmfGxS94Tfij,Falling In Reverse,2CmaKO2zEGJ1NWpS1yfVGz,64,220537,0.461,0.897,-3.9819999999999998,0,0.00821,0.358,165.107,2019-11-20,single,genius.com,0.020134228187919462,0.013422818791946308,0.026845637583892617,0.006711409395973154,0.020134228187919462,0.020134228187919462,0.013422818791946308,0.013422818791946308,0.020134228187919462,0.03355704697986577
