,Track_Name,Track_Id,Artists_All,Artists_IDs,popularity,LengthOfTrack_sec,danceability,energy,loudness,mode_Major1happier,acousticness,valence,tempo,album_type
4812,"""Neumeister chorales"" - Werde munter, mein Gemüte, BWV 1118: BWV 1118",1UM2n1WiLZwuUGc62GOVSK,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,119.193,0.0771,0.0358,-31.892,1,0.903,0.273,71.228,album
4813,"Prelude A Major , BWV 536",1kUfzbIfPRBP0uZWO2J6qS,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",6,97.85,0.189,0.286,-12.676,1,0.716,0.273,85.766,album
4814,"Chorale prelude - Wir glauben all' an einen Gott, BWV 740",1kgw224U26lTv6OyalgLeq,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",3,318.92,0.0618,0.00544,-39.065,1,0.985,0.0752,68.469,album
4815,"""Kirnberger chorales"" - Lob sei dem allmächtigen Gott, BWV 704: BWV 704",1nqlchRqBfeIGaCKeQRlh0,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,57.303,0.284,0.0758,-28.061,1,0.987,0.298,91.023,album
4816,"Chorale partita - O Gott, du frommer Gott, BWV 767 - Partita IX: Partita IX",1oD4S51gAkKL4rsQxJHWv9,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,208.103,0.179,0.124,-20.449,1,0.886,0.2,61.216,album
4817,"Concerto D Minor after Antonio Vivaldi, BWV 596 - Largo e spiccato: Largo e spiccato",1pW3lSyLwVBBZ5vZ7sWJ9K,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",4,142.425,0.18,0.00336,-40.565,0,0.96,0.0605,78.782,album
4818,"Chorale partita - O Gott, du frommer Gott, BWV 767 - Partita VI: Partita VI",1vJUIeav5yY95HxSsbpjal,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,69.726,0.19,0.183,-18.888,0,0.891,0.35,69.561,album
4819,"""Schübler chorales"" - Kommst du nun, Jesu, vom Himmel herunter, BWV 650: BWV 650",1y0xBpH7pVmCIPmp8vyLqW,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,193.587,0.14,0.0708,-26.93,1,0.85,0.281,100.566,album
4820,"""Kirnberger chorales"" - Nun komm, der Heiden Heiland, BWV 699: BWV 699",1zyn8LME6e0kq6K4pPftFe,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,74.049,0.198,0.00683,-41.434,0,0.989,0.2,116.523,album
4821,"""Orgelbüchlein"" - Ach wie nichtig, ach wie flüchtig, BWV 644: BWV 644",23jUuAO5EVOnUHpr3mQhMQ,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,53.963,0.119,0.0125,-36.194,0,0.99,0.467,80.865,album
4822,"""Eighteen Leipziger chorales"" - Nun danket alle Gott, BWV 657: BWV 657",27QSpdsknUfIGCCyHBogRS,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",1,250.513,0.128,0.094,-19.386,1,0.951,0.181,67.047,album
4823,"""Neumeister chorales"" - Wie nach einer Wasserquelle, BWV 1119: BWV 1119",28YucGJVPulFqYMA0RhBxG,"('Johann Sebastian Bach', 'Peter Kofler')","('5aIqB5nVVvmFsvSdExz408', '7dAwFBCebA376xacWmIxxP')",2,100.152,0.175,0.0125,-36.178,0,0.98,0.26,122.489,album
